Mechanism,Community_ID,Manuscript_label,Community_size,Library,Term,Overlap,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Nucleosome Binding (GO:0031491),5/62,1.592e-04,1.173e-02,10.843,94.827,RBBP4;HDAC1;HP1BP3;NOC2L;ARID1A
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Translation Initiation Factor Activity (GO:0003743),4/41,3.565e-04,1.442e-02,13.294,105.541,EIF2B4;EIF2B3;MTIF2;EIF4G3
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Transcription Corepressor Binding (GO:0001222),4/42,3.916e-04,1.442e-02,12.943,101.546,HDAC1;MTF2;ENO1;ZNF644
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Regulatory RNA Binding (GO:0061980),4/42,3.916e-04,1.442e-02,12.943,101.546,PNPT1;TUT4;RC3H1;PUM1
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,mRNA Binding (GO:0003729),9/282,5.718e-04,1.805e-02,4.134,30.867,YTHDF2;RBM8A;ZNF638;PABPC4;TPR;RC3H1;HNRNPR;PUM1;EIF4G3
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Cysteine-Type Peptidase Activity (GO:0008234),6/144,1.257e-03,3.007e-02,5.386,35.975,USP48;CAPN2;YOD1;UCHL5;RNF2;OTUD3
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Cysteine-Type Deubiquitinase Activity (GO:0004843),5/98,1.317e-03,3.007e-02,6.634,43.997,USP48;YOD1;UCHL5;RNF2;OTUD3
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Cadherin Binding (GO:0045296),9/319,1.361e-03,3.007e-02,3.634,23.981,SH3GLB1;RAB1A;MACF1;CAPZA1;PKN2;ENO1;FNBP1L;F11R;WASF2
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Poly-Purine Tract Binding (GO:0070717),3/31,2.092e-03,4.202e-02,13.100,80.824,PNPT1;DDX1;PABPC4
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,Deubiquitinase Activity (GO:0101005),5/113,2.466e-03,4.542e-02,5.708,34.277,USP48;YOD1;UCHL5;RNF2;OTUD3
